ensembl_gene_id,symbol,logFC,t,P.Value,p.adj
ENSG00000241490,RP11-553L6.2,0.962865635,1.15530629,0.255755135,0.492570808973395
ENSG00000241511,RPS15AP24,-2.293746923,-2.759526471,0.009129571,0.0488586835971787
ENSG00000241529,RN7SL767P,2.863822577,3.467026917,0.001406529,0.0117124986036585
ENSG00000241537,RP11-624D20.1,-0.9558462,-1.125667088,0.267930748,0.506177740168296
ENSG00000241547,ACTG1P20,0.665986303,1.099856058,0.278867609,0.518667420588796
ENSG00000241549,GUSBP2,0.134180271,0.2809659,0.780383158,0.892606426357801
ENSG00000241553,ARPC4,0.51969284,3.567033786,0.001065223,0.00941782181916271
ENSG00000241560,ZBTB20-AS1,0.159468785,0.175300723,0.861848873,0.934768579626463
ENSG00000241612,RP13-585F24.1,-1.177039632,-2.636871656,0.012374041,0.0615385609004854
ENSG00000241634,RP11-381E24.1,0.303395135,0.290281235,0.77330611,0.889294598086832
ENSG00000241657,TRBV11-2,-9.402851239,-7.941746278,2.35e-09,3.70305769230769e-07
ENSG00000241666,RP3-455J7.4,0.198960994,0.37705237,0.708400632,0.851419088624736
ENSG00000241679,RP11-80H8.4,6.317375078,7.030350584,3.4e-08,2.64597916666667e-06
ENSG00000241685,ARPC1A,-0.264721969,-1.963002551,0.057594204,0.185569688708333
ENSG00000241741,RPL7AP30,-0.082072224,-0.135390289,0.893075358,0.95061827532502
ENSG00000241749,RPSAP52,3.167747753,3.705551434,0.000721553,0.00697208568599717
ENSG00000241764,AC002467.7,1.174365346,1.274630228,0.210798733,0.437774943785989
ENSG00000241769,LINC00893,1.341784928,2.086837871,0.044217828,0.154521017840328
ENSG00000241772,AC092620.2,-0.307199611,-0.29744512,0.767876869,0.885729852161759
ENSG00000241782,RP11-91P24.1,-0.264614385,-0.248672666,0.805060633,0.906452870898648
ENSG00000241837,ATP5O,-0.589661365,-3.57635909,0.00103782,0.00921931600173461
ENSG00000241839,PLEKHO2,2.620188569,3.266944955,0.002430493,0.017864603195192
ENSG00000241852,C8orf58,0.040588109,0.079995035,0.936694738,0.971308109740825
ENSG00000241859,ANOS2P,-0.428788601,-0.621668566,0.538169632,0.744522245937205
ENSG00000241869,RN7SL363P,1.776661082,2.1605837,0.037622694,0.138366406928187
ENSG00000241878,PISD,-0.082564874,-0.427614705,0.671539032,0.828803293801663
ENSG00000241884,RP11-85I21.1,1.479242548,1.582384762,0.122515555,0.3089669454992
ENSG00000241886,RP11-242C19.2,1.297702588,1.3445827,0.18736955,0.405436276724411
ENSG00000241933,RP11-755B10.3,-0.753222396,-0.868862034,0.390814325,0.627488309302453
ENSG00000241945,PWP2,0.640847406,0.690887658,0.494171878,0.712331416797622
ENSG00000241973,PI4KA,0.523648831,3.345986714,0.001961153,0.0151372340636775
ENSG00000241975,TCEB1P19,0.68436423,1.076336947,0.289105875,0.530199986515219
ENSG00000241990,PRR34-AS1,-0.217706809,-0.630813281,0.532241404,0.740087236012761
ENSG00000242028,HYPK,0.600086863,0.821962752,0.416636716,0.650023086615385
ENSG00000242029,RP11-457K10.1,-0.167850203,-0.216963033,0.829491049,0.919449018202305
ENSG00000242058,RPS4XP19,0.039882361,0.067488565,0.946575045,0.976397503060213
ENSG00000242071,RPL7AP6,-0.311094825,-0.70695139,0.484255401,0.704669501311266
ENSG00000242082,RP1-90G24.10,-0.879019846,-0.806238775,0.425524271,0.656827730789632
ENSG00000242085,RPS20P33,-0.618430426,-0.594258413,0.556143539,0.756398443702032
ENSG00000242086,LINC00969,0.007725088,0.027331565,0.978349805,0.990038177056804
ENSG00000242087,RPL36AP41,-0.650880909,-0.767726412,0.447774523,0.674658804328847
ENSG00000242094,FOXP1-IT1,0.155065505,0.131661924,0.89600214,0.951706099652598
ENSG00000242100,RPL9P32,0.086446151,0.086745845,0.931365614,0.969075242472198
ENSG00000242110,AMACR,1.835061736,3.278324609,0.00235686,0.0174422966401734
ENSG00000242114,MTFP1,-3.617674047,-4.15348,0.000198503,0.00252567326397516
ENSG00000242125,SNHG3,-0.585610403,-2.528691664,0.016088026,0.074764794149274
ENSG00000242154,RP4-778K6.3,0.34594306,0.542532186,0.590874071,0.779229307978627
ENSG00000242170,RN7SL329P,-0.638787784,-0.594924134,0.555703404,0.756034937678975
ENSG00000242173,ARHGDIG,0.427082045,0.664440855,0.510742063,0.724252468541811
ENSG00000242193,RP11-568K15.1,2.316804808,2.131551797,0.040107187,0.144672605334566
ENSG00000242221,PSG2,-0.179489647,-0.219877964,0.827237671,0.91824749538201
ENSG00000242247,ARFGAP3,1.014292561,2.390905503,0.022291519,0.0950544893245212
ENSG00000242252,BGLAP,-0.713349042,-0.80731998,0.424909475,0.65648017160985
ENSG00000242258,LINC00996,5.548619959,3.973004467,0.000335604,0.00381375482529118
ENSG00000242259,C22orf39,0.183635705,0.931752726,0.357817727,0.599435405429751
ENSG00000242262,RP11-100N21.1,-1.851356425,-3.413629029,0.001629585,0.0130858677871423
ENSG00000242265,PEG10,0.009018827,0.006551558,0.994809678,0.997713604034319
ENSG00000242282,AC108488.4,3.005547835,3.732145158,0.000669177,0.00659359829004329
ENSG00000242290,RP11-197K3.1,-1.512900828,-1.428309207,0.162025184,0.370743549885513
ENSG00000242294,STAG3L5P,1.340102442,1.905192505,0.064958491,0.20192332141654
ENSG00000242295,RP11-522B15.1,-0.143261074,-0.189752173,0.850594433,0.929572571252867
ENSG00000242299,RP11-234A1.1,-1.411356041,-4.31175822,0.000124642,0.00172870099526066
ENSG00000242325,RPS12P31,2.492296248,1.968618789,0.0569189,0.183938107982332
ENSG00000242338,BMS1P4,1.097062651,1.582452192,0.122500155,0.3089669454992
ENSG00000242360,RN7SL272P,0.020339121,0.03335602,0.973579301,0.988233519993065
ENSG00000242372,EIF6,0.523250117,3.330225331,0.002047214,0.0156715914760837
ENSG00000242412,DBIL5P2,1.03168431,1.197601179,0.239082862,0.47325097238912
ENSG00000242436,RN7SL789P,2.654131992,2.996396074,0.004983258,0.0308778100816697
ENSG00000242457,RBBP4P2,0.647377204,0.634925331,0.529586976,0.737698164243166
ENSG00000242463,RN7SL500P,0.170292417,0.176879574,0.860617833,0.93422480573393
ENSG00000242473,KIR2DP1,7.589019559,9.161750163,7.61e-11,3.117817e-08
ENSG00000242474,AC093627.9,-1.483718653,-1.36108327,0.18214653,0.398163885580329
ENSG00000242485,MRPL20,-0.269593387,-1.642663054,0.109366563,0.286689462052201
ENSG00000242498,ARPIN,0.72029932,0.596530158,0.554642326,0.755391798956851
ENSG00000242522,KLHL6-AS1,1.041203719,1.417146299,0.165239771,0.375062239217175
ENSG00000242550,SERPINB10,0.167610016,0.258352649,0.797640933,0.902027074702733
ENSG00000242553,AP001432.14,1.553800351,1.873664046,0.069306326,0.211244768181413
ENSG00000242571,RPL21P11,-1.244031303,-1.881100789,0.068258914,0.209011039355755
ENSG00000242574,HLA-DMB,2.227772604,4.170738916,0.00018872,0.00242530062735257
ENSG00000242588,RP11-274B21.14,0.140993067,0.300186402,0.765802475,0.884448013335494
ENSG00000242607,RPS3AP34,-1.748019688,-1.957473894,0.058265752,0.187080553247649
ENSG00000242612,DECR2,0.632682059,0.739829474,0.46431433,0.68860432349743
ENSG00000242615,CTC-359D24.3,2.791367189,3.799786668,0.000552025,0.00568538568376068
ENSG00000242616,GNG10,0.390780682,0.685476066,0.497537919,0.714799982858696
ENSG00000242622,RP11-18H7.1,-2.008794183,-2.447506043,0.019518707,0.0861725674342672
ENSG00000242636,RPL21P129,-0.05076745,-0.05608426,0.955592144,0.98062844754233
ENSG00000242641,LINC00971,0.051026447,0.067524476,0.946546662,0.976397503060213
ENSG00000242687,AC004893.11,-0.37995238,-0.989933461,0.328969767,0.571145493431223
ENSG00000242689,CNTF,0.466160682,0.365337864,0.717047608,0.856921162887924
ENSG00000242732,RGAG4,0.215406391,0.192919689,0.848131798,0.928681741959217
ENSG00000242736,TRBV1,-5.671883496,-5.354024279,5.42e-06,0.000137072469135802
ENSG00000242767,ZBTB20-AS4,0.45218282,0.496318146,0.622758298,0.796822200915621
ENSG00000242770,RP11-180K7.1,0.160069593,0.140246353,0.88926561,0.948830981866243
ENSG00000242779,ZNF702P,0.478568216,0.480908766,0.633560152,0.804069122961403
ENSG00000242797,GLYCTK-AS1,0.997836558,0.956170602,0.34551376,0.586725102581648
ENSG00000242802,AP5Z1,0.420483785,1.552349253,0.129533406,0.320663664279154
ENSG00000242808,SOX2-OT,-1.274484783,-1.599121634,0.118741345,0.302879014907857
ENSG00000242829,RPS26P21,1.475778733,1.715732056,0.095010851,0.261758327252555
ENSG00000242852,ZNF709,1.081420024,1.19125206,0.24153337,0.475979902303992
ENSG00000242853,RN7SL749P,-1.080512634,-0.878221867,0.385784747,0.623741163559195
ENSG00000242860,RN7SL180P,-0.843952384,-0.737427008,0.465755142,0.689876651039046
ENSG00000242861,RP11-285F7.2,-1.576589358,-3.0696555,0.004113629,0.0267516476396825
ENSG00000242866,STRC,-0.667985001,-0.674244289,0.504564611,0.72019788628457
ENSG00000242876,RN7SL812P,0.359826648,0.333772899,0.740533223,0.870378281780653
ENSG00000242889,RN7SL449P,-0.694398943,-0.707015102,0.484216295,0.704669501311266
ENSG00000242893,RN7SL413P,-0.083973767,-0.099188587,0.921551835,0.964551183697118
ENSG00000242931,RPL7P49,-0.632203573,-0.535953402,0.595364902,0.782352600888768
ENSG00000242992,FTH1P4,-0.723547663,-0.963204742,0.342022106,0.584249736608572
ENSG00000242993,RP11-697H10.1,-0.854465815,-1.129347095,0.266396804,0.504170226343311
ENSG00000243004,AC005062.2,-0.568262867,-0.624524104,0.536314772,0.743178522926334
ENSG00000243024,RPS11P6,-1.14713659,-1.659530314,0.105902801,0.281085628204846
ENSG00000243033,GAPDHP47,-0.488629969,-0.448506261,0.656539459,0.819600287653099
